Rank,Opponent Rank,Wins,Losses,Total Matches,Win/Loss Ratio,WWOF,WWOF%,Win%
y,o,1460,693,2153,2.1068,,,0.6781
y,s,1290,501,1791,2.5749,,,0.7203
y,k,1477,377,1854,3.9178,,,0.7967
y,m1,1340,328,1668,4.0854,,,0.8034
y,m2,1345,254,1599,5.2953,,,0.8412
y,m3,1266,232,1498,5.4569,,,0.8451
y,m4,929,172,1101,5.4012,,,0.8438
y,m5,515,96,611,5.3646,,,0.8429
y,m6,263,61,324,4.3115,,,0.8117
y,m7,144,22,166,6.5455,,,0.8675
y,m8,76,13,89,5.8462,,,0.8539
y,m9,55,16,71,3.4375,,,0.7746
y,m10,32,9,41,3.5556,,,0.7805
y,m11,12,4,16,3.0,,,0.75
y,m12,10,3,13,3.3333,,,0.7692
y,m13,6,2,8,3.0,,,0.75
y,m14,7,1,8,7.0,,,0.875
o,y,693,1460,2153,0.4747,,,0.3219
o,s,1612,1200,2812,1.3433,,,0.5733
o,k,1898,1006,2904,1.8867,,,0.6536
o,m1,1840,795,2635,2.3145,,,0.6983
o,m2,1928,671,2599,2.8733,,,0.7418
o,m3,1766,602,2368,2.9336,,,0.7458
o,m4,1270,468,1738,2.7137,,,0.7307
o,m5,770,249,1019,3.0924,,,0.7556
o,m6,435,125,560,3.48,,,0.7768
o,m7,235,81,316,2.9012,,,0.7437
o,m8,115,38,153,3.0263,,,0.7516
o,m9,79,30,109,2.6333,,,0.7248
o,m10,44,20,64,2.2,,,0.6875
o,m11,34,11,45,3.0909,,,0.7556
o,m12,22,7,29,3.1429,,,0.7586
o,m13,20,6,26,3.3333,,,0.7692
o,m14,13,5,18,2.6,,,0.7222
o,m15,7,1,8,7.0,,,0.875
o,m17,3,3,6,1.0,,,0.5
s,y,501,1290,1791,0.3884,,,0.2797
s,o,1200,1612,2812,0.7444,,,0.4267
s,k,1209,883,2092,1.3692,,,0.5779
s,m1,1141,707,1848,1.6139,,,0.6174
s,m2,1104,649,1753,1.7011,,,0.6298
s,m3,1068,563,1631,1.897,,,0.6548
s,m4,826,442,1268,1.8688,,,0.6514
s,m5,552,276,828,2.0,,,0.6667
s,m6,323,186,509,1.7366,,,0.6346
s,m7,202,100,302,2.02,,,0.6689
s,m8,142,58,200,2.4483,,,0.71
s,m9,85,63,148,1.3492,,,0.5743
s,m10,56,34,90,1.6471,,,0.6222
s,m11,54,14,68,3.8571,,,0.7941
s,m12,20,10,30,2.0,,,0.6667
s,m13,19,11,30,1.7273,,,0.6333
s,m14,11,11,22,1.0,,,0.5
s,m15,9,1,10,9.0,,,0.9
s,m16,5,2,7,2.5,,,0.7143
s,m17,2,2,4,1.0,,,0.5
k,y,377,1477,1854,0.2552,,,0.2033
k,o,1006,1898,2904,0.53,,,0.3464
k,s,883,1209,2092,0.7304,,,0.4221
k,m1,934,769,1703,1.2146,,,0.5484
k,m2,836,719,1555,1.1627,,,0.5376
k,m3,826,578,1404,1.4291,,,0.5883
k,m4,631,514,1145,1.2276,,,0.5511
k,m5,436,349,785,1.2493,,,0.5554
k,m6,279,219,498,1.274,,,0.5602
k,m7,208,147,355,1.415,,,0.5859
k,m8,136,89,225,1.5281,,,0.6044
k,m9,94,59,153,1.5932,,,0.6144
k,m10,82,35,117,2.3429,,,0.7009
k,m11,51,28,79,1.8214,,,0.6456
k,m12,33,19,52,1.7368,,,0.6346
k,m13,26,25,51,1.04,,,0.5098
k,m14,13,12,25,1.0833,,,0.52
k,m15,7,4,11,1.75,,,0.6364
k,m17,2,4,6,0.5,,,0.3333
m1,y,328,1340,1668,0.2448,,,0.1966
m1,o,794,1841,2635,0.4313,,,0.3013
m1,s,707,1141,1848,0.6196,,,0.3826
m1,k,769,934,1703,0.8233,,,0.4516
m1,m2,581,538,1119,1.0799,,,0.5192
m1,m3,532,418,950,1.2727,,,0.56
m1,m4,466,375,841,1.2427,,,0.5541
m1,m5,437,330,767,1.3242,,,0.5698
m1,m6,331,266,597,1.2444,,,0.5544
m1,m7,266,212,478,1.2547,,,0.5565
m1,m8,232,166,398,1.3976,,,0.5829
m1,m9,164,133,297,1.2331,,,0.5522
m1,m10,153,72,225,2.125,,,0.68
m1,m11,88,62,150,1.4194,,,0.5867
m1,m12,85,41,126,2.0732,,,0.6746
m1,m13,45,30,75,1.5,,,0.6
m1,m14,33,18,51,1.8333,,,0.6471
m1,m15,8,10,18,0.8,,,0.4444
m1,m16,10,9,19,1.1111,,,0.5263
m1,m17,4,3,7,1.3333,,,0.5714
m1,m18,2,2,4,1.0,,,0.5
m2,y,254,1345,1599,0.1888,,,0.1588
m2,o,671,1928,2599,0.348,,,0.2582
m2,s,649,1104,1753,0.5879,,,0.3702
m2,k,719,836,1555,0.86,,,0.4624
m2,m1,538,581,1119,0.926,,,0.4808
m2,m3,472,476,948,0.9916,,,0.4979
m2,m4,453,386,839,1.1736,,,0.5399
m2,m5,389,364,753,1.0687,,,0.5166
m2,m6,339,289,628,1.173,,,0.5398
m2,m7,272,259,531,1.0502,,,0.5122
m2,m8,249,223,472,1.1166,,,0.5275
m2,m9,207,183,390,1.1311,,,0.5308
m2,m10,161,115,276,1.4,,,0.5833
m2,m11,111,92,203,1.2065,,,0.5468
m2,m12,100,79,179,1.2658,,,0.5587
m2,m13,57,50,107,1.14,,,0.5327
m2,m14,37,27,64,1.3704,,,0.5781
m2,m15,28,11,39,2.5455,,,0.7179
m2,m16,13,10,23,1.3,,,0.5652
m2,m18,2,2,4,1.0,,,0.5
m3,y,232,1266,1498,0.1833,,,0.1549
m3,o,602,1766,2368,0.3409,,,0.2542
m3,s,563,1068,1631,0.5272,,,0.3452
m3,k,578,826,1404,0.6998,,,0.4117
m3,m1,418,532,950,0.7857,,,0.44
m3,m2,476,472,948,1.0085,,,0.5021
m3,m4,462,417,879,1.1079,,,0.5256
m3,m5,418,395,813,1.0582,,,0.5141
m3,m6,333,343,676,0.9708,,,0.4926
m3,m7,312,271,583,1.1513,,,0.5352
m3,m8,249,260,509,0.9577,,,0.4892
m3,m9,215,212,427,1.0142,,,0.5035
m3,m10,195,173,368,1.1272,,,0.5299
m3,m11,151,147,298,1.0272,,,0.5067
m3,m12,130,106,236,1.2264,,,0.5508
m3,m13,92,83,175,1.1084,,,0.5257
m3,m14,62,53,115,1.1698,,,0.5391
m3,m15,31,20,51,1.55,,,0.6078
m3,m16,25,11,36,2.2727,,,0.6944
m3,m17,16,9,25,1.7778,,,0.64
m3,m18,3,1,4,3.0,,,0.75
m3,j4,0,1,1,0.0,,,0.0
m4,y,172,929,1101,0.1851,,,0.1562
m4,o,468,1270,1738,0.3685,,,0.2693
m4,s,442,826,1268,0.5351,,,0.3486
m4,k,514,631,1145,0.8146,,,0.4489
m4,m1,375,466,841,0.8047,,,0.4459
m4,m2,386,453,839,0.8521,,,0.4601
m4,m3,417,462,879,0.9026,,,0.4744
m4,m5,552,520,1072,1.0615,,,0.5149
m4,m6,540,474,1014,1.1392,,,0.5325
m4,m7,452,399,851,1.1328,,,0.5311
m4,m8,377,335,712,1.1254,,,0.5295
m4,m9,310,318,628,0.9748,,,0.4936
m4,m10,294,271,565,1.0849,,,0.5204
m4,m11,227,225,452,1.0089,,,0.5022
m4,m12,191,161,352,1.1863,,,0.5426
m4,m13,135,86,221,1.5698,,,0.6109
m4,m14,94,73,167,1.2877,,,0.5629
m4,m15,59,39,98,1.5128,,,0.602
m4,m16,19,25,44,0.76,,,0.4318
m4,m17,18,10,28,1.8,,,0.6429
m4,m18,7,4,11,1.75,,,0.6364
m4,j1,7,5,12,1.4,,,0.5833
m4,j2,2,1,3,2.0,,,0.6667
m4,j3,1,1,2,1.0,,,0.5
m4,j6,0,1,1,0.0,,,0.0
m5,y,96,515,611,0.1864,,,0.1571
m5,o,249,770,1019,0.3234,,,0.2444
m5,s,276,552,828,0.5,,,0.3333
m5,k,349,436,785,0.8005,,,0.4446
m5,m1,330,437,767,0.7551,,,0.4302
m5,m2,364,389,753,0.9357,,,0.4834
m5,m3,395,418,813,0.945,,,0.4859
m5,m4,520,552,1072,0.942,,,0.4851
m5,m6,583,549,1132,1.0619,,,0.515
m5,m7,553,538,1091,1.0279,,,0.5069
m5,m8,522,486,1008,1.0741,,,0.5179
m5,m9,462,457,919,1.0109,,,0.5027
m5,m10,412,396,808,1.0404,,,0.5099
m5,m11,339,345,684,0.9826,,,0.4956
m5,m12,309,275,584,1.1236,,,0.5291
m5,m13,226,157,383,1.4395,,,0.5901
m5,m14,136,119,255,1.1429,,,0.5333
m5,m15,87,73,160,1.1918,,,0.5437
m5,m16,56,47,103,1.1915,,,0.5437
m5,m17,23,15,38,1.5333,,,0.6053
m5,m18,4,14,18,0.2857,,,0.2222
m5,j1,6,8,14,0.75,,,0.4286
m5,j2,5,3,8,1.6667,,,0.625
m5,j3,0,3,3,0.0,,,0.0
m5,j4,0,4,4,0.0,,,0.0
m6,y,61,263,324,0.2319,,,0.1883
m6,o,125,435,560,0.2874,,,0.2232
m6,s,186,323,509,0.5759,,,0.3654
m6,k,219,279,498,0.7849,,,0.4398
m6,m1,266,331,597,0.8036,,,0.4456
m6,m2,289,339,628,0.8525,,,0.4602
m6,m3,343,333,676,1.03,,,0.5074
m6,m4,474,540,1014,0.8778,,,0.4675
m6,m5,549,583,1132,0.9417,,,0.485
m6,m7,630,605,1235,1.0413,,,0.5101
m6,m8,593,553,1146,1.0723,,,0.5175
m6,m9,614,549,1163,1.1184,,,0.5279
m6,m10,578,500,1078,1.156,,,0.5362
m6,m11,494,485,979,1.0186,,,0.5046
m6,m12,427,398,825,1.0729,,,0.5176
m6,m13,324,315,639,1.0286,,,0.507
m6,m14,235,181,416,1.2983,,,0.5649
m6,m15,148,116,264,1.2759,,,0.5606
m6,m16,69,62,131,1.1129,,,0.5267
m6,m17,41,29,70,1.4138,,,0.5857
m6,m18,20,14,34,1.4286,,,0.5882
m6,j1,9,7,16,1.2857,,,0.5625
m6,j2,8,4,12,2.0,,,0.6667
m6,j3,3,1,4,3.0,,,0.75
m6,j4,1,2,3,0.5,,,0.3333
m7,y,22,144,166,0.1528,,,0.1325
m7,o,81,235,316,0.3447,,,0.2563
m7,s,100,202,302,0.495,,,0.3311
m7,k,147,208,355,0.7067,,,0.4141
m7,m1,212,266,478,0.797,,,0.4435
m7,m2,259,272,531,0.9522,,,0.4878
m7,m3,271,312,583,0.8686,,,0.4648
m7,m4,399,452,851,0.8827,,,0.4689
m7,m5,538,553,1091,0.9729,,,0.4931
m7,m6,605,630,1235,0.9603,,,0.4899
m7,m8,605,641,1246,0.9438,,,0.4856
m7,m9,648,561,1209,1.1551,,,0.536
m7,m10,588,574,1162,1.0244,,,0.506
m7,m11,561,541,1102,1.037,,,0.5091
m7,m12,539,489,1028,1.1022,,,0.5243
m7,m13,495,419,914,1.1814,,,0.5416
m7,m14,311,286,597,1.0874,,,0.5209
m7,m15,237,163,400,1.454,,,0.5925
m7,m16,119,97,216,1.2268,,,0.5509
m7,m17,58,52,110,1.1154,,,0.5273
m7,m18,27,22,49,1.2273,,,0.551
m7,j1,4,6,10,0.6667,,,0.4
m7,j2,4,5,9,0.8,,,0.4444
m7,j3,4,8,12,0.5,,,0.3333
m7,j4,2,4,6,0.5,,,0.3333
m7,j5,1,3,4,0.3333,,,0.25
m7,j6,0,1,1,0.0,,,0.0
m7,j11,0,1,1,0.0,,,0.0
m8,y,13,76,89,0.1711,,,0.1461
m8,o,38,115,153,0.3304,,,0.2484
m8,s,58,142,200,0.4085,,,0.29
m8,k,89,136,225,0.6544,,,0.3956
m8,m1,166,232,398,0.7155,,,0.4171
m8,m2,223,249,472,0.8956,,,0.4725
m8,m3,260,249,509,1.0442,,,0.5108
m8,m4,335,377,712,0.8886,,,0.4705
m8,m5,486,522,1008,0.931,,,0.4821
m8,m6,553,593,1146,0.9325,,,0.4825
m8,m7,641,605,1246,1.0595,,,0.5144
m8,m9,652,616,1268,1.0584,,,0.5142
m8,m10,597,592,1189,1.0084,,,0.5021
m8,m11,631,528,1159,1.1951,,,0.5444
m8,m12,561,517,1078,1.0851,,,0.5204
m8,m13,542,484,1026,1.1198,,,0.5283
m8,m14,381,363,744,1.0496,,,0.5121
m8,m15,269,271,540,0.9926,,,0.4981
m8,m16,159,131,290,1.2137,,,0.5483
m8,m17,73,48,121,1.5208,,,0.6033
m8,m18,38,22,60,1.7273,,,0.6333
m8,j1,14,20,34,0.7,,,0.4118
m8,j2,7,7,14,1.0,,,0.5
m8,j3,4,4,8,1.0,,,0.5
m8,j4,4,6,10,0.6667,,,0.4
m8,j5,0,1,1,0.0,,,0.0
m8,j8,0,1,1,0.0,,,0.0
m8,j11,1,1,2,1.0,,,0.5
m9,y,16,55,71,0.2909,,,0.2254
m9,o,30,79,109,0.3797,,,0.2752
m9,s,63,85,148,0.7412,,,0.4257
m9,k,59,94,153,0.6277,,,0.3856
m9,m1,133,164,297,0.811,,,0.4478
m9,m2,183,207,390,0.8841,,,0.4692
m9,m3,212,215,427,0.986,,,0.4965
m9,m4,318,310,628,1.0258,,,0.5064
m9,m5,457,462,919,0.9892,,,0.4973
m9,m6,549,614,1163,0.8941,,,0.4721
m9,m7,561,648,1209,0.8657,,,0.464
m9,m8,616,652,1268,0.9448,,,0.4858
m9,m10,652,653,1305,0.9985,,,0.4996
m9,m11,669,589,1258,1.1358,,,0.5318
m9,m12,586,600,1186,0.9767,,,0.4941
m9,m13,534,518,1052,1.0309,,,0.5076
m9,m14,464,393,857,1.1807,,,0.5414
m9,m15,364,278,642,1.3094,,,0.567
m9,m16,233,168,401,1.3869,,,0.581
m9,m17,90,87,177,1.0345,,,0.5085
m9,m18,45,40,85,1.125,,,0.5294
m9,j1,37,29,66,1.2759,,,0.5606
m9,j2,16,26,42,0.6154,,,0.381
m9,j3,14,17,31,0.8235,,,0.4516
m9,j4,7,7,14,1.0,,,0.5
m9,j5,3,5,8,0.6,,,0.375
m9,j7,0,1,1,0.0,,,0.0
m9,j10,0,1,1,0.0,,,0.0
m9,j11,1,3,4,0.3333,,,0.25
m10,y,9,32,41,0.2812,,,0.2195
m10,o,20,44,64,0.4545,,,0.3125
m10,s,34,56,90,0.6071,,,0.3778
m10,k,35,82,117,0.4268,,,0.2991
m10,m1,72,153,225,0.4706,,,0.32
m10,m2,115,161,276,0.7143,,,0.4167
m10,m3,173,195,368,0.8872,,,0.4701
m10,m4,271,294,565,0.9218,,,0.4796
m10,m5,396,412,808,0.9612,,,0.4901
m10,m6,500,578,1078,0.8651,,,0.4638
m10,m7,574,588,1162,0.9762,,,0.494
m10,m8,592,597,1189,0.9916,,,0.4979
m10,m9,653,652,1305,1.0015,,,0.5004
m10,m11,706,669,1375,1.0553,,,0.5135
m10,m12,633,574,1207,1.1028,,,0.5244
m10,m13,549,527,1076,1.0417,,,0.5102
m10,m14,456,448,904,1.0179,,,0.5044
m10,m15,387,319,706,1.2132,,,0.5482
m10,m16,275,196,471,1.4031,,,0.5839
m10,m17,121,91,212,1.3297,,,0.5708
m10,m18,53,48,101,1.1042,,,0.5248
m10,j1,67,73,140,0.9178,,,0.4786
m10,j2,47,49,96,0.9592,,,0.4896
m10,j3,24,29,53,0.8276,,,0.4528
m10,j4,13,12,25,1.0833,,,0.52
m10,j5,6,9,15,0.6667,,,0.4
m10,j6,0,1,1,0.0,,,0.0
m10,j8,0,1,1,0.0,,,0.0
m10,j10,0,2,2,0.0,,,0.0
m11,y,4,12,16,0.3333,,,0.25
m11,o,11,34,45,0.3235,,,0.2444
m11,s,14,54,68,0.2593,,,0.2059
m11,k,28,51,79,0.549,,,0.3544
m11,m1,62,88,150,0.7045,,,0.4133
m11,m2,92,111,203,0.8288,,,0.4532
m11,m3,147,151,298,0.9735,,,0.4933
m11,m4,225,227,452,0.9912,,,0.4978
m11,m5,345,339,684,1.0177,,,0.5044
m11,m6,485,494,979,0.9818,,,0.4954
m11,m7,541,561,1102,0.9643,,,0.4909
m11,m8,528,631,1159,0.8368,,,0.4556
m11,m9,589,669,1258,0.8804,,,0.4682
m11,m10,669,706,1375,0.9476,,,0.4865
m11,m12,666,644,1310,1.0342,,,0.5084
m11,m13,607,541,1148,1.122,,,0.5287
m11,m14,509,443,952,1.149,,,0.5347
m11,m15,404,402,806,1.005,,,0.5012
m11,m16,297,238,535,1.2479,,,0.5551
m11,m17,119,116,235,1.0259,,,0.5064
m11,m18,63,52,115,1.2115,,,0.5478
m11,j1,125,137,262,0.9124,,,0.4771
m11,j2,96,92,188,1.0435,,,0.5106
m11,j3,57,67,124,0.8507,,,0.4597
m11,j4,22,32,54,0.6875,,,0.4074
m11,j5,16,11,27,1.4545,,,0.5926
m11,j6,5,2,7,2.5,,,0.7143
m11,j7,0,1,1,0.0,,,0.0
m11,j8,0,1,1,0.0,,,0.0
m12,y,3,10,13,0.3,,,0.2308
m12,o,7,22,29,0.3182,,,0.2414
m12,s,10,20,30,0.5,,,0.3333
m12,k,19,33,52,0.5758,,,0.3654
m12,m1,41,85,126,0.4824,,,0.3254
m12,m2,79,100,179,0.79,,,0.4413
m12,m3,106,130,236,0.8154,,,0.4492
m12,m4,161,191,352,0.8429,,,0.4574
m12,m5,275,309,584,0.89,,,0.4709
m12,m6,398,427,825,0.9321,,,0.4824
m12,m7,489,539,1028,0.9072,,,0.4757
m12,m8,517,561,1078,0.9216,,,0.4796
m12,m9,600,586,1186,1.0239,,,0.5059
m12,m10,574,633,1207,0.9068,,,0.4756
m12,m11,644,666,1310,0.967,,,0.4916
m12,m13,615,616,1231,0.9984,,,0.4996
m12,m14,478,544,1022,0.8787,,,0.4677
m12,m15,466,405,871,1.1506,,,0.535
m12,m16,297,277,574,1.0722,,,0.5174
m12,m17,142,120,262,1.1833,,,0.542
m12,m18,70,50,120,1.4,,,0.5833
m12,j1,170,171,341,0.9942,,,0.4985
m12,j2,127,156,283,0.8141,,,0.4488
m12,j3,99,97,196,1.0206,,,0.5051
m12,j4,47,49,96,0.9592,,,0.4896
m12,j5,20,20,40,1.0,,,0.5
m12,j6,4,4,8,1.0,,,0.5
m12,j7,4,1,5,4.0,,,0.8
m13,y,2,6,8,0.3333,,,0.25
m13,o,6,20,26,0.3,,,0.2308
m13,s,11,19,30,0.5789,,,0.3667
m13,k,25,26,51,0.9615,,,0.4902
m13,m1,30,45,75,0.6667,,,0.4
m13,m2,50,57,107,0.8772,,,0.4673
m13,m3,83,92,175,0.9022,,,0.4743
m13,m4,86,135,221,0.637,,,0.3891
m13,m5,157,226,383,0.6947,,,0.4099
m13,m6,315,324,639,0.9722,,,0.493
m13,m7,419,495,914,0.8465,,,0.4584
m13,m8,484,542,1026,0.893,,,0.4717
m13,m9,518,534,1052,0.97,,,0.4924
m13,m10,527,549,1076,0.9599,,,0.4898
m13,m11,541,607,1148,0.8913,,,0.4713
m13,m12,616,615,1231,1.0016,,,0.5004
m13,m14,553,536,1089,1.0317,,,0.5078
m13,m15,453,416,869,1.0889,,,0.5213
m13,m16,326,283,609,1.1519,,,0.5353
m13,m17,128,126,254,1.0159,,,0.5039
m13,m18,78,64,142,1.2188,,,0.5493
m13,j1,213,200,413,1.065,,,0.5157
m13,j2,167,177,344,0.9435,,,0.4855
m13,j3,123,106,229,1.1604,,,0.5371
m13,j4,52,75,127,0.6933,,,0.4094
m13,j5,29,35,64,0.8286,,,0.4531
m13,j6,4,11,15,0.3636,,,0.2667
m13,j7,1,1,2,1.0,,,0.5
m13,j8,1,2,3,0.5,,,0.3333
m13,j10,1,1,2,1.0,,,0.5
m14,y,1,7,8,0.1429,,,0.125
m14,o,5,13,18,0.3846,,,0.2778
m14,s,11,11,22,1.0,,,0.5
m14,k,12,13,25,0.9231,,,0.48
m14,m1,18,33,51,0.5455,,,0.3529
m14,m2,27,37,64,0.7297,,,0.4219
m14,m3,53,62,115,0.8548,,,0.4609
m14,m4,73,94,167,0.7766,,,0.4371
m14,m5,119,136,255,0.875,,,0.4667
m14,m6,181,235,416,0.7702,,,0.4351
m14,m7,286,311,597,0.9196,,,0.4791
m14,m8,363,381,744,0.9528,,,0.4879
m14,m9,393,464,857,0.847,,,0.4586
m14,m10,448,456,904,0.9825,,,0.4956
m14,m11,443,509,952,0.8703,,,0.4653
m14,m12,544,478,1022,1.1381,,,0.5323
m14,m13,536,553,1089,0.9693,,,0.4922
m14,m15,479,446,925,1.074,,,0.5178
m14,m16,344,256,600,1.3438,,,0.5733
m14,m17,129,145,274,0.8897,,,0.4708
m14,m18,73,59,132,1.2373,,,0.553
m14,j1,197,209,406,0.9426,,,0.4852
m14,j2,176,166,342,1.0602,,,0.5146
m14,j3,125,127,252,0.9843,,,0.496
m14,j4,63,66,129,0.9545,,,0.4884
m14,j5,21,25,46,0.84,,,0.4565
m14,j6,4,9,13,0.4444,,,0.3077
