Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats,,,,,,,,,,,,,
Hoshoryu,5,10,-10,5,,0,70,1,Y1e,Wakatakakage,Wakamotoharu,Gonoyama,Tobizaru,Takanosho,,,,,,,,,
Onosato,13,2,22,13,,1,69,0.985714285714286,O1e,Wakatakakage,Kirishima,Gonoyama,Tobizaru,Takanosho,Chiyoshoma,Ichiyamamoto,Abi,Ura,Takerufuji,Daieisho,Kotozakura,Takayasu,
Kotozakura,8,7,2,8,,2,68,0.971428571428571,O1w,Gonoyama,Wakatakakage,Chiyoshoma,Tobizaru,Kirishima,Oho,Daieisho,Takerufuji,,,,,,
Daieisho,9,6,6,9,,3,67,0.957142857142857,S1e,Chiyoshoma,Wakatakakage,Wakamotoharu,Abi,Takanosho,Ura,Oho,Ichiyamamoto,Aonishiki,,,,,
Oho,6,9,-6,6,,4,66,0.942857142857143,S1w,Tobizaru,Abi,Ura,Kinbozan,Onosato,Ichiyamamoto,,,,,,,,
Kirishima,8,7,2,8,,5,65,0.928571428571429,K1e,Tobizaru,Chiyoshoma,Daieisho,Wakamotoharu,Takayasu,Ichiyamamoto,Kinbozan,Tokihayate,,,,,,
Abi,6,9,-6,6,,6,64,0.914285714285714,K1w,Hoshoryu,Tobizaru,Kotozakura,Kirishima,Churanoumi,Takanosho,,,,,,,,
Wakatakakage,9,6,6,9,,7,63,0.9,,Kirishima,Oho,Abi,Chiyoshoma,Gonoyama,Tobizaru,Takanosho,Ura,Hiradoumi,,,,,
Wakamotoharu,9,6,6,9,,8,62,0.885714285714286,,Kotozakura,Oho,Onosato,Gonoyama,Chiyoshoma,Abi,Takanosho,Atamifuji,Takerufuji,,,,,
Gonoyama,7,8,-2,7,,9,61,0.871428571428571,,Daieisho,Oho,Kirishima,Abi,Kinbozan,Takarafuji,Takanosho,,,,,,,
Chiyoshoma,10,5,10,6,,10,60,0.857142857142857,,Oho,Abi,Hoshoryu,Kinbozan,Gonoyama,Takanosho,,,,,,,,
Tobizaru,6,9,-6,6,,11,59,0.842857142857143,,Takayasu,Gonoyama,Wakamotoharu,Chiyoshoma,Ichiyamamoto,Shodai,,,,,,,,
Takanosho,3,12,-18,3,,12,58,0.828571428571429,,Oho,Kotozakura,Kirishima,,,,,,,,,,,
Takayasu,12,3,18,12,,13,57,0.814285714285714,,Takanosho,Ura,Ichiyamamoto,Gonoyama,Daieisho,Wakatakakage,Hoshoryu,Kotozakura,Onosato,Oho,Wakamotoharu,Abi,,
Ichiyamamoto,7,8,-2,7,,14,56,0.8,,Takanosho,Kinbozan,Hiradoumi,Shodai,Hoshoryu,Kotozakura,Takarafuji,,,,,,,
Ura,7,8,-2,7,,15,55,0.785714285714286,,Ichiyamamoto,Takanosho,Hiradoumi,Hoshoryu,Atamifuji,Abi,Tobizaru,,,,,,,
Kinbozan,6,9,-6,6,,16,54,0.771428571428572,,Shodai,Tamawashi,Atamifuji,Hakuoho,Endo,Shonannoumi,,,,,,,,
Hiradoumi,9,6,6,9,,17,53,0.757142857142857,,Kinbozan,Takerufuji,Atamifuji,Endo,Takanosho,Nishikigi,Hakuoho,Chiyoshoma,Kotozakura,,,,,
Takerufuji,9,6,6,9,,18,52,0.742857142857143,,Shodai,Kinbozan,Ura,Ichiyamamoto,Endo,Oshoma,Nishikigi,Shonannoumi,Churanoumi,,,,,
Shodai,6,9,-6,6,,19,51,0.728571428571429,,Hiradoumi,Atamifuji,Ura,Midorifuji,Kotoshoho,Nishikigi,,,,,,,,
Tamawashi,10,5,10,10,,20,50,0.714285714285714,,Oshoma,Hakuoho,Takerufuji,Hiradoumi,Ura,Shodai,Nishikigi,Midorifuji,Kirishima,Shishi,,,,
Atamifuji,6,9,-6,6,,21,49,0.7,,Tamawashi,Oshoma,Nishikigi,Shonannoumi,Meisei,Shishi,,,,,,,,
Oshoma,9,6,6,9,,22,48,0.685714285714286,,Shodai,Nishikigi,Kinbozan,Shonannoumi,Hiradoumi,Takarafuji,Midorifuji,Onokatsu,Wakatakakage,,,,,
Hakuoho,9,6,6,9,,23,47,0.671428571428571,,Oshoma,Nishikigi,Shonannoumi,Endo,Onokatsu,Shodai,Shishi,Tobizaru,Asakoryu,,,,,
Endo,7,8,-2,7,,24,46,0.657142857142857,,Nishikigi,Atamifuji,Shonannoumi,Oshoma,Tamawashi,Shodai,Asakoryu,,,,,,,
Nishikigi,3,12,-18,3,,25,45,0.642857142857143,,Shonannoumi,Kinbozan,Shirokuma,,,,,,,,,,,
Shonannoumi,4,11,-14,4,,26,44,0.628571428571429,,Takarafuji,Sadanoumi,Shirokuma,Asakoryu,,,,,,,,,,
Midorifuji,9,6,6,9,,27,43,0.614285714285714,,Shonannoumi,Nishikigi,Endo,Ryuden,Tokihayate,Shirokuma,Asakoryu,Sadanoumi,Mitakeumi,,,,,
Meisei,9,6,6,9,,28,42,0.6,,Shonannoumi,Nishikigi,Midorifuji,Hakuoho,Shishi,Ryuden,Shirokuma,Mitakeumi,Chiyoshoma,,,,,
Takarafuji,3,12,-18,3,,29,41,0.585714285714286,,Meisei,Ryuden,Nishikigi,,,,,,,,,,,
Onokatsu,10,5,10,10,,30,40,0.571428571428571,,Nishikifuji,Midorifuji,Meisei,Takarafuji,Shonannoumi,Atamifuji,Mitakeumi,Sadanoumi,Ryuden,Shirokuma,,,,
Nishikifuji,0,15,-30,0,,31,39,0.557142857142857,,,,,,,,,,,,,,,
Shishi,9,6,6,9,,32,38,0.542857142857143,,Takarafuji,Churanoumi,Midorifuji,Onokatsu,Kotoshoho,Asakoryu,Mitakeumi,Wakamotoharu,Endo,,,,,
Ryuden,6,9,-6,6,,33,37,0.528571428571429,,Shishi,Nishikifuji,Aonishiki,Mitakeumi,Atamifuji,Oshoma,,,,,,,,
Churanoumi,11,4,14,11,,34,36,0.514285714285714,,Aonishiki,Sadanoumi,Ryuden,Asakoryu,Takarafuji,Kotoshoho,Mitakeumi,Hakuoho,Tamawashi,Takayasu,Daieisho,,,
Aonishiki,11,4,14,11,,35,35,0.5,,Sadanoumi,Mitakeumi,Shishi,Tokihayate,Shirokuma,Nabatame,Kotoshoho,Hakuoho,Meisei,Takerufuji,Oho,,,
Sadanoumi,8,7,2,8,,36,34,0.485714285714286,,Kotoshoho,Shirokuma,Mitakeumi,Shiden,Takarafuji,Ryuden,Endo,Atamifuji,,,,,,
Asakoryu,6,9,-6,6,,37,33,0.471428571428571,,Sadanoumi,Aonishiki,Kotoshoho,Tochitaikai,Onokatsu,Takarafuji,,,,,,,,
Kotoshoho,8,7,2,8,,38,32,0.457142857142857,,Mitakeumi,Shirokuma,Tokihayate,Onokatsu,Meisei,Ryuden,Takarafuji,Endo,,,,,,
Mitakeumi,6,9,-6,6,,39,31,0.442857142857143,,Tokihayate,Shirokuma,Kayo,Asakoryu,Takarafuji,Nishikigi,,,,,,,,
Shirokuma,5,10,-10,5,,40,30,0.428571428571429,,Kagayaki,Ryuden,Takarafuji,Asakoryu,Shodai,,,,,,,,,
Tokihayate,10,5,10,10,,41,29,0.414285714285714,,Shirokuma,Tamashoho,Asakoryu,Sadanoumi,Churanoumi,Fujiseiun,Ryuden,Shonannoumi,Meisei,Tamawashi,,,,
Tamashoho,8,7,2,8,,42,28,0.4,,Kagayaki,Roga,Shiden,Fujiseiun,Mitoryu,Hidenoumi,Oshoumi,Nabatame,,,,,,
Kagayaki,4,11,-14,4,,43,27,0.385714285714286,,Shiden,Oshoumi,Fujiseiun,Hokutofuji,,,,,,,,,,
Kayo,9,6,6,9,,44,26,0.371428571428571,,Kagayaki,Tamashoho,Shiden,Mitoryu,Kotoeiho,Nabatame,Oshoumi,Kusano,Hakuyozan,,,,,
Kitanowaka,0,15,-30,0,,45,25,0.357142857142857,,,,,,,,,,,,,,,
Roga,11,4,14,11,,46,24,0.342857142857143,,Kayo,Kagayaki,Tochitaikai,Fujiseiun,Kotoshoho,Hidenoumi,Mitoryu,Kotoeiho,Shimanoumi,Hitoshi,Wakaikari,,,
Tochitaikai,9,6,6,9,,47,23,0.328571428571429,,Shiden,Oshoumi,Kayo,Tamashoho,Kagayaki,Kotoeiho,Daiseizan,Wakanosho,Shimanoumi,,,,,
Shiden,4,11,-14,4,,48,22,0.314285714285714,,Mitoryu,Roga,Fujiseiun,Hitoshi,,,,,,,,,,
Oshoumi,4,11,-14,4,,49,21,0.3,,Nabatame,Shiden,Mitoryu,Tohakuryu,,,,,,,,,,
Nabatame,3,12,-18,3,,50,20,0.285714285714286,,Shiden,Kagayaki,Mitoryu,,,,,,,,,,,
Fujiseiun,9,6,6,9,,51,19,0.271428571428571,,Mitoryu,Hidenoumi,Nabatame,Oshoumi,Kayo,Kotoeiho,Tochitaikai,Hatsuyama,Shimanoumi,,,,,
Mitoryu,4,11,-14,4,,52,18,0.257142857142857,,Tomokaze,Tochitaikai,Kagayaki,Hatsuyama,,,,,,,,,,
Hidenoumi,10,5,10,10,,53,17,0.242857142857143,,Tomokaze,Mitoryu,Nabatame,Kotoeiho,Hokutofuji,Kayo,Tochitaikai,Kagayaki,Wakaikari,Oshoumi,,,,
Tomokaze,7,8,-2,7,,54,16,0.228571428571429,,Hokutofuji,Roga,Tamashoho,Shiden,Kagayaki,Otsuji,Nabatame,,,,,,,
Kotoeiho,7,8,-2,7,,55,15,0.214285714285714,,Hokutofuji,Hakuyozan,Tomokaze,Tohakuryu,Daiseizan,Shimanoumi,Tamashoho,,,,,,,
Hokutofuji,3,12,-18,3,,56,14,0.2,,Hakuyozan,Tohakuryu,Shiden,,,,,,,,,,,
Hakuyozan,9,6,6,9,,57,13,0.185714285714286,,Wakaikari,Tohakuryu,Tomokaze,Daiseizan,Hatsuyama,Wakanosho,Hidenoumi,Kazekeno,Tamashoho,,,,,
Wakaikari,8,7,2,8,,58,12,0.171428571428571,,Hokutofuji,Kotoeiho,Tomokaze,Hatsuyama,Tsurugisho,Kazekeno,Hitoshi,Tamashoho,,,,,,
Tohakuryu,7,8,-2,7,,59,11,0.157142857142857,,Wakaikari,Tomokaze,Kazekeno,Tochitaikai,Hitoshi,Otsuji,Mitoryu,,,,,,,
Daiseizan,8,7,2,8,,60,10,0.142857142857143,,Tohakuryu,Shimanoumi,Wakaikari,Tomokaze,Otsuji,Kazekeno,Shiden,Kayo,,,,,,
Shimanoumi,8,7,2,8,,61,9,0.128571428571429,,Tsurugisho,Tohakuryu,Wakanosho,Hitoshi,Kiryuko,Hokutofuji,Otsuji,Wakaikari,,,,,,
Tsurugisho,8,7,2,8,,62,8,0.114285714285714,,Daiseizan,Otsuji,Hakuyozan,Hokutofuji,Mitoryu,Shiden,Kagayaki,Tohakuryu,,,,,,
Wakanosho,7,8,-2,7,,63,7,0.1,,Kiryuko,Tsurugisho,Wakaikari,Mitoryu,Tohakuryu,Oshoumi,Kagayaki,,,,,,,
Hitoshi,9,6,6,9,,64,6,0.0857142857142857,,Wakanosho,Hatsuyama,Kiryuko,Daiseizan,Kazekeno,Mudoho,Otsuji,Hakuyozan,Nabatame,,,,,
Kiryuko,2,13,-22,2,,65,5,0.0714285714285714,,Otsuji,Tsurugisho,,,,,,,,,,,,
Hatsuyama,8,7,2,8,,66,4,0.0571428571428571,,Kiryuko,Kazekeno,Tochimaru,Wakanosho,Tsurugisho,Hokutofuji,Daiseizan,Tomokaze,,,,,,
Kazekeno,8,7,2,8,,67,3,0.0428571428571429,,Otsuji,Tsurugisho,Daiamami,Wakanosho,Hokutofuji,Shimanoumi,Ishizaki,Kotoeiho,,,,,,
Otsuji,5,10,-10,5,,68,2,0.0285714285714286,,Ishizaki,Hatsuyama,Wakanosho,Hokutofuji,Kotoeiho,,,,,,,,,
Kusano,14,1,26,14,,69,1,0.0142857142857143,,Miyagi,Kazekeno,Otsuji,Hatsuyama,Wakanosho,Hitoshi,Kiryuko,Daiseizan,Hakuyozan,Shimanoumi,Tsurugisho,Roga,Hidenoumi,Fujiseiun
Miyagi,4,11,-14,4,,70,0,0,,Daiamami,Ishizaki,Tochimaru,Hokutofuji,,,,,,,,,,
Ishizaki,3,12,-18,3,,71,-1,0,,Daiamami,Nishinoryu,Tochimaru,,,,,,,,,,,
Daiamami,4,11,-14,4,,72,-2,0,,Tenshoho,Nishinoryu,Kaisho,Hokutofuji,,,,,,,,,,
Tochimaru,2,13,-22,2,,73,-3,0,,Mudoho,Nishinoryu,,,,,,,,,,,,
Shimazuumi,0,15,-30,0,,74,-4,0,,,,,,,,,,,,,,,
Mudoho,4,11,-14,4,,75,-5,0,,Mita,Nishinoryu,Miyagi,Kotokuzan,,,,,,,,,,
Nishinoryu,2,13,-22,2,,76,-6,0,,Mita,Osanai,,,,,,,,,,,,
Mita,5,10,-10,5,,77,-7,0,,Tenshoho,Takakento,Ishizaki,Miyagi,Otsuji,,,,,,,,,
Bushozan,0,15,-30,0,,78,-8,0,,,,,,,,,,,,,,,
Tenshoho,1,14,-26,1,,79,-9,0,,Kototaiko,,,,,,,,,,,,,
Kotokuzan,4,11,-14,4,,80,-10,0,,Tenshoho,Takakento,Daishoho,Okaryu,,,,,,,,,,
Akua,6,9,-6,6,,81,-11,0,,Takakento,Kotokuzan,Tochimaru,Dewanoryu,Nobehara,Asahakuryu,,,,,,,,
Takakento,3,12,-18,3,,82,-12,0,,Tenshoho,Nishinoryu,Tochimaru,,,,,,,,,,,
Daishoho,4,11,-14,4,,83,-13,0,,Kaisho,Gojinyu,Kitaharima,Fujinoyama,,,,,,,,,,
Kotokenryu,0,15,-30,0,,84,-14,0,,,,,,,,,,,,,,,
Kaisho,2,13,-22,2,,85,-15,0,,Tsushimanada,Takakento,,,,,,,,,,,,
Kyokukaiyu,5,10,-10,5,,86,-16,0,,Kaisho,Daishoho,Kotokuzan,Okaryu,Mudoho,,,,,,,,,
Tochimusashi,5,10,-10,5,,87,-17,0,,Kyokukaiyu,Daishoho,Okaryu,Satorufuji,Inami,,,,,,,,,
Dewanoryu,6,9,-6,6,,88,-18,0,,Gojinyu,Okaryu,Tochimusashi,Kyokukaiyu,Nobehara,Hananoumi,,,,,,,,
Gojinyu,3,12,-18,3,,89,-19,0,,Kaisho,Tsushimanada,Asashiyu,,,,,,,,,,,
Kitaharima,3,12,-18,3,,90,-20,0,,Gojinyu,Asakoki,Kaisho,,,,,,,,,,,
Okaryu,3,12,-18,3,,91,-21,0,,Kitaharima,Inami,Fujinoyama,,,,,,,,,,,
Asakoki,3,12,-18,3,,92,-22,0,,Tsushimanada,Gojinyu,Haruyama,,,,,,,,,,,
Fujinoyama,3,12,-18,3,,93,-23,0,,Asakoki,Kitaharima,Asashiyu,,,,,,,,,,,
Satorufuji,5,10,-10,5,,94,-24,0,,Inami,Fujinoyama,Chiyomaru,Asonoyama,Nobehara,,,,,,,,,
Inami,4,11,-14,4,,95,-25,0,,Asakoki,Asashiyu,Kitaharima,Hamayutaka,,,,,,,,,,
Tsushimanada,2,13,-22,2,,96,-26,0,,Tenshoho,Daimasakari,,,,,,,,,,,,
Hamayutaka,4,11,-14,4,,97,-27,0,,Asashiyu,Chiyomaru,Satorufuji,Kazenoumi,,,,,,,,,,
Asashiyu,2,13,-22,2,,98,-28,0,,Haruyama,Tosamidori,,,,,,,,,,,,
Asahakuryu,5,10,-10,5,,99,-29,0,,Haruyama,Kazenoumi,Fujinoyama,Hamayutaka,Tochimusashi,,,,,,,,,
Chiyomaru,4,11,-14,4,,100,-30,0,,Asahakuryu,Anosho,Kazenoumi,Asonoyama,,,,,,,,,,
Kazenoumi,3,12,-18,3,,101,-31,0,,Asashiyu,Fukai,Asakoki,,,,,,,,,,,
Anosho,3,12,-18,3,,102,-32,0,,Kazenoumi,Tosamidori,Fukai,,,,,,,,,,,
Haruyama,2,13,-22,2,,103,-33,0,,Daimasakari,Osanai,,,,,,,,,,,,
Nobehara,4,11,-14,4,,104,-34,0,,Haruyama,Anosho,Narutaki,Hamayutaka,,,,,,,,,,
Narutaki,4,11,-14,4,,105,-35,0,,Fukai,Tosamidori,Asonoyama,Kaiseijo,,,,,,,,,,
Fukai,3,12,-18,3,,106,-36,0,,Daimasakari,Haruyama,Tosamidori,,,,,,,,,,,
Osanai,1,14,-26,1,,107,-37,0,,Daimasakari,,,,,,,,,,,,,
Tosamidori,2,13,-22,2,,108,-38,0,,Osanai,Fujitoshi,,,,,,,,,,,,
Asonoyama,3,12,-18,3,,109,-39,0,,Fukai,Tosamidori,Anosho,,,,,,,,,,,
Hokutomaru,5,10,-10,5,,110,-40,0,,Asonoyama,Wakatakamoto,Matsui,Chiyomaru,Narutaki,,,,,,,,,
Kaiseijo,4,11,-14,4,,111,-41,0,,Daimasakari,Hokutomaru,Kitadaichi,Aratakayama,,,,,,,,,,
Daimasakari,1,14,-26,1,,112,-42,0,,Tenshoho,,,,,,,,,,,,,
Kitadaichi,2,13,-22,2,,113,-43,0,,Daimasakari,Hokutomaru,,,,,,,,,,,,
Hananoumi,5,10,-10,5,,114,-44,0,,Kitadaichi,Obara,Kaiseijo,Aratakayama,Narutaki,,,,,,,,,
Fujitoshi,2,13,-22,2,,115,-45,0,,Kototaiko,Kaishin,,,,,,,,,,,,
Obara,4,11,-14,4,,116,-46,0,,Fujitoshi,Wakatakamoto,Matsui,Chiyotora,,,,,,,,,,
Wakatakamoto,1,14,-26,1,,117,-47,0,,Fujitoshi,,,,,,,,,,,,,
Matsui,4,11,-14,4,,118,-48,0,,Wakatakamoto,Chiyotora,Kitadaichi,Anosho,,,,,,,,,,
Aratakayama,3,12,-18,3,,119,-49,0,,Kamito,Toseiryu,Hokutenkai,,,,,,,,,,,
Chiyotora,5,10,-10,5,,120,-50,0,,Aratakayama,Yuma,Awanokuni,Kamito,Kaiseijo,,,,,,,,,
Kamito,4,11,-14,4,,121,-51,0,,Fujitoshi,Yuma,Hokutenkai,Shohoryu,,,,,,,,,,
Toseiryu,5,10,-10,5,,122,-52,0,,Kamito,Oyamada,Kitadaichi,Oyamatoumi,Obara,,,,,,,,,
Yuma,4,11,-14,4,,123,-53,0,,Higonoumi,Wakatakamoto,Hokutenkai,Aratakayama,,,,,,,,,,
Oshoryu,7,8,-2,7,,124,-54,0,,Yuma,Toseiryu,Matsui,Hananoumi,Enho,Akua,Kawazoe,,,,,,,
Higonoumi,3,12,-18,3,,125,-55,0,,Fujitoshi,Oyamada,Kitadaichi,,,,,,,,,,,
Nihonyanagi,0,15,-30,0,,126,-56,0,,,,,,,,,,,,,,,
Hokutenkai,3,12,-18,3,,127,-57,0,,Higonoumi,Oyamada,Dewataikai,,,,,,,,,,,
Oyamada,3,12,-18,3,,128,-58,0,,Shohoryu,Wakatakamoto,Sazanami,,,,,,,,,,,
Enho,6,9,-6,6,,129,-59,0,,Oyamada,Hokutenkai,Awanokuni,Tendozan,Obara,Nagamura,,,,,,,,
Shohoryu,3,12,-18,3,,130,-60,0,,Higonoumi,Dewataikai,Sazanami,,,,,,,,,,,
Awanokuni,4,11,-14,4,,131,-61,0,,Shohoryu,Noda,Higonoumi,Shuji,,,,,,,,,,
Oyamatoumi,4,11,-14,4,,132,-62,0,,Sazanami,Dewataikai,Awanokuni,Tochikodai,,,,,,,,,,
Noda,3,12,-18,3,,133,-63,0,,Oyamatoumi,Shohoryu,Sazanami,,,,,,,,,,,
Dewataikai,2,13,-22,2,,134,-64,0,,Sazanami,Kaishin,,,,,,,,,,,,
Sazanami,2,13,-22,2,,135,-65,0,,Gyokuozan,Kaishin,,,,,,,,,,,,
Tendozan,6,9,-6,6,,136,-66,0,,Gyokuozan,Dewataikai,Nagamura,Tanji,Yoshii,Daikosho,,,,,,,,
Gyokuozan,2,13,-22,2,,137,-67,0,,Kototaiko,Kaishin,,,,,,,,,,,,
Nagamura,5,10,-10,5,,138,-68,0,,Tanji,Kazuto,Oyamatoumi,Hinataryu,Seihakuho,,,,,,,,,
Tanji,4,11,-14,4,,139,-69,0,,Gyokuozan,Noda,Kazuto,Toshunryu,,,,,,,,,,
Kazuto,5,10,-10,5,,140,-70,0,,Shuji,Toshunryu,Tochikodai,Noda,Yoshii,,,,,,,,,
Shuji,3,12,-18,3,,141,-71,0,,Kototaiko,Dewataikai,Gyokuozan,,,,,,,,,,,
Kototaiko,0,15,-30,0,,142,-72,0,,,,,,,,,,,,,,,
Tochikodai,3,12,-18,3,,143,-73,0,,Kototaiko,Toshunryu,Aron,,,,,,,,,,,
Kaishin,1,14,-26,1,,144,-74,0,,Kototaiko,,,,,,,,,,,,,
Toshunryu,4,11,-14,4,,145,-75,0,,Kaishin,Nionoumi,Shuji,Noda,,,,,,,,,,
Kawazoe,6,9,-6,6,,146,-76,0,,Hinataryu,Kotodaigo,Tochikodai,Daishomaru,Goshima,Fukuzaki,,,,,,,,
Hinataryu,5,10,-10,5,,147,-77,0,,Kaishin,Shuji,Tochikodai,Tochiseiryu,Tanji,,,,,,,,,
Aron,3,12,-18,3,,148,-78,0,,Denuma,Chiyoraizan,Gyokuozan,,,,,,,,,,,
Kotodaigo,4,11,-14,4,,149,-79,0,,Aron,Nionoumi,Chiyodaigo,Tochiseiryu,,,,,,,,,,
Nionoumi,3,12,-18,3,,150,-80,0,,Aron,Akiyoshi,Chiyoraizan,,,,,,,,,,,
Yoshii,4,11,-14,4,,151,-81,0,,Nionoumi,Chiyoraizan,Kotodaigo,Tochiseiryu,,,,,,,,,,
Akiyoshi,3,12,-18,3,,152,-82,0,,Aron,Kaigo,Chiyodaigo,,,,,,,,,,,
Chiyoraizan,2,13,-22,2,,153,-83,0,,Akiyoshi,Yamato,,,,,,,,,,,,
Tochiseiryu,3,12,-18,3,,154,-84,0,,Akiyoshi,Chiyoraizan,Fujiazuma,,,,,,,,,,,
Daishomaru,4,11,-14,4,,155,-85,0,,Tochiseiryu,Chiyodaigo,Yoshii,Kirinryu,,,,,,,,,,
Kirinryu,3,12,-18,3,,156,-86,0,,Anhibiki,Akiyoshi,Kotodaigo,,,,,,,,,,,
Chiyodaigo,2,13,-22,2,,157,-87,0,,Kirinryu,Kaigo,,,,,,,,,,,,
Seihakuho,5,10,-10,5,,158,-88,0,,Anhibiki,Fujiazuma,Mikazuchiyama,Tokitenran,Daishomaru,,,,,,,,,
Anhibiki,3,12,-18,3,,159,-89,0,,Denuma,Chiyoraizan,Chiyodaigo,,,,,,,,,,,
Fujiazuma,2,13,-22,2,,160,-90,0,,Hayatefuji,Kirinryu,,,,,,,,,,,,
Hayatefuji,4,11,-14,4,,161,-91,0,,Denuma,Chiyodaigo,Mikazuchiyama,Daishomaru,,,,,,,,,,
Mikazuchiyama,5,10,-10,5,,162,-92,0,,Denuma,Kaigo,Fujiazuma,Anhibiki,Kurohimeyama,,,,,,,,,
Denuma,2,13,-22,2,,163,-93,0,,Kototaiko,Wakatakamoto,,,,,,,,,,,,
Kotodaishin,4,11,-14,4,,164,-94,0,,Shunrai,Daiyusho,Ikazuchido,Kirinryu,,,,,,,,,,
Kaigo,2,13,-22,2,,165,-95,0,,Kotodaishin,Yamato,,,,,,,,,,,,
Shunrai,4,11,-14,4,,166,-96,0,,Yamato,Kaigo,Nionoumi,Anhibiki,,,,,,,,,,
Ikazuchido,3,12,-18,3,,167,-97,0,,Shunrai,Kurohimeyama,Shimizuumi,,,,,,,,,,,
Daiyusho,5,10,-10,5,,168,-98,0,,Yamato,Shunrai,Ikazuchido,Tokitenran,Hayatefuji,,,,,,,,,
Kurohimeyama,4,11,-14,4,,169,-99,0,,Daiyusho,Kaigo,Ieshima,Kotodaishin,,,,,,,,,,
Daikosho,5,10,-10,5,,170,-100,0,,Yamato,Shimizuumi,Kurohimeyama,Kotodaishin,Hayatefuji,,,,,,,,,
Yamato,1,14,-26,1,,171,-101,0,,Denuma,,,,,,,,,,,,,
Shimizuumi,3,12,-18,3,,172,-102,0,,Shiroma,Chiyotaiho,Fujiazuma,,,,,,,,,,,
Tokitenran,4,11,-14,4,,173,-103,0,,Shimizuumi,Daikosho,Ikazuchido,Dairinzan,,,,,,,,,,
Mishima,5,10,-10,5,,174,-104,0,,Shiroma,Chiyotaiho,Tsurubayashi,Tokitenran,Ienoshima,,,,,,,,,
Shiroma,4,11,-14,4,,175,-105,0,,Yamato,Chiyotaiho,Kumanoryu,Ikazuchido,,,,,,,,,,
Chiyotaiho,2,13,-22,2,,176,-106,0,,Ieshima,Onojo,,,,,,,,,,,,
Sengaku,5,10,-10,5,,177,-107,0,,Chiyotaiho,Mishima,Daihisho,Ienoshima,Tokunomusashi,,,,,,,,,
Ieshima,2,13,-22,2,,178,-108,0,,Shiroma,Onojo,,,,,,,,,,,,
Dairinzan,3,12,-18,3,,179,-109,0,,Ieshima,Kumanoryu,Sengaku,,,,,,,,,,,
Onojo,1,14,-26,1,,180,-110,0,,Chiyonokatsu,,,,,,,,,,,,,
Kumanoryu,3,12,-18,3,,181,-111,0,,Onojo,Yokomaru,Chiyotaiho,,,,,,,,,,,
Tsurubayashi,4,11,-14,4,,182,-112,0,,Daihisho,Hoshuzan,Shimizuumi,Dairinzan,,,,,,,,,,
Daihisho,3,12,-18,3,,183,-113,0,,Onojo,Kumanoryu,Yoshiyasu,,,,,,,,,,,
Yoshiyasu,4,11,-14,4,,184,-114,0,,Chiyonokatsu,Yokomaru,Ieshima,Soma,,,,,,,,,,
Chiyonokatsu,1,14,-26,1,,185,-115,0,,Sachinofuji,,,,,,,,,,,,,
Ienoshima,4,11,-14,4,,186,-116,0,,Chiyonokatsu,Yokomaru,Yoshiyasu,Daihisho,,,,,,,,,,
Hoshuzan,4,11,-14,4,,187,-117,0,,Ienoshima,Kumanoryu,Soma,Daihisho,,,,,,,,,,
Yonezawaryu,3,12,-18,3,,188,-118,0,,Chiyonokatsu,Onojo,Ieshima,,,,,,,,,,,
Yokomaru,2,13,-22,2,,189,-119,0,,Yonezawaryu,Rinko,,,,,,,,,,,,
Goshima,6,9,-6,6,,190,-120,0,,Chiyooga,Tokunomusashi,Tsurubayashi,Dairinzan,Mishima,Yago,,,,,,,,
Fukuzaki,5,10,-10,5,,191,-121,0,,Soma,Suzaki,Yoshiyasu,Kotonofuji,Seihakuho,,,,,,,,,
